date_week,positive,created_utc
2020-01-13,0.6617928743,2
2020-01-20,,0
2020-01-27,,0
2020-02-03,0.6375097434,6
2020-02-10,0.2908296840428571,14
2020-02-17,0.26500263063749996,16
2020-02-24,0.022029340299999922,2
2020-03-02,0.2779953976333333,12
2020-03-09,0.371363682888889,36
2020-03-16,0.38216149809999994,6
2020-03-23,0.28590393064999997,4
2020-03-30,0.6249496937,2
2020-04-06,0.2439826727,6
2020-04-13,0.3321808129499999,8
2020-04-20,0.42988565562500003,8
2020-04-27,0.32952440528750004,16
2020-05-04,0.4042783159894737,38
2020-05-11,0.403575172428,100
2020-05-18,0.07964482478571425,14
2020-05-25,0.20234772564999998,4
2020-06-01,0.30724520683999995,10
2020-06-08,0.48212733865,4
2020-06-15,0.3239334027,6
2020-06-22,0.3275822252166665,24
2020-06-29,,0
2020-07-06,0.4295393384374557,566
2020-07-13,0.340226691891566,166
2020-07-20,0.3834950717653848,52
2020-07-27,0.32848057860952384,42
2020-08-03,0.43631081655625004,32
2020-08-10,0.5055192224562501,32
2020-08-17,0.2911688135230769,26
2020-08-24,0.36667738110416653,48
2020-08-31,0.4380237286250002,96
2020-09-07,0.49089982986800007,50
2020-09-14,0.5031580440687499,32
2020-09-21,0.3700447231249999,8
2020-09-28,0.41444297880000003,16
2020-10-05,0.57500304285,8
2020-10-12,0.44788509607500004,8
2020-10-19,0.039717634533333324,6
2020-10-26,0.6118913122571428,14
2020-11-02,0.4887426496,2
2020-11-09,0.535385280825,8
2020-11-16,0.45931019784,10
2020-11-23,0.5299486915333333,6
2020-11-30,0.3688126802399999,10
2020-12-07,0.412345290175,8
2020-12-14,0.49969247976666664,6
2020-12-21,0.46814358229999997,2
2020-12-28,0.30964824555,4
2021-01-04,0.5244738221200002,10
2021-01-11,0.1628541549,6
