date_week,positive,created_utc
2019-12-30,0.3800403265411768,68
2020-01-06,0.4048092027500001,60
2020-01-13,0.434214312202041,98
2020-01-20,0.3717760163235294,34
2020-01-27,0.39839691374150904,106
2020-02-03,0.38038696348750006,48
2020-02-10,0.3696613405789473,38
2020-02-17,0.28609260644999995,44
2020-02-24,0.33707397580333337,60
2020-03-02,0.30043603108125,32
2020-03-09,0.3250007820928572,56
2020-03-16,0.3822899965153845,26
2020-03-23,0.3677363651285714,28
2020-03-30,0.5071492790899998,20
2020-04-06,0.30100345611428564,14
2020-04-13,0.3515155758641025,78
2020-04-20,0.4627839437222221,54
2020-04-27,0.4521958604524997,80
2020-05-04,0.3669572141444443,36
2020-05-11,0.348568126565,40
2020-05-18,0.31432231834999996,28
2020-05-25,0.4044556021636364,22
2020-06-01,0.3901283542333333,24
2020-06-08,0.3965906138043479,46
2020-06-15,0.3631370098102563,78
2020-06-22,0.4221046728839506,162
2020-06-29,0.38071060027692316,78
2020-07-06,0.42276570925810814,148
2020-07-13,0.3773435912064102,156
2020-07-20,0.35538814027288124,118
2020-07-27,0.3341586312297706,262
2020-08-03,0.3510121823394959,238
2020-08-10,0.40821686707923066,260
2020-08-17,0.3635881369307699,624
2020-08-24,0.35196401637756675,526
2020-08-31,0.3798891991737448,518
2020-09-07,0.3546268943104984,381
2020-09-14,0.37553248726490385,416
2020-09-21,0.41602909389411746,136
2020-09-28,0.40299552256017684,113
2020-10-05,0.36792374429999986,324
2020-10-12,0.3545722425301585,378
2020-10-19,0.3583479849698112,106
2020-10-26,0.3416924127000001,208
2020-11-02,0.35680624246333326,60
2020-11-09,0.4033171944406248,64
2020-11-16,0.33947914999729717,74
2020-11-23,0.40157745709384624,130
2020-11-30,0.4184590687881579,152
2020-12-07,0.35915265004782604,92
2020-12-14,0.3797641368133335,210
2020-12-21,0.432700136718248,274
2020-12-28,0.3069522029571429,112
2021-01-04,0.36950107141063826,188
2021-01-11,0.35164751719629633,108
2021-01-18,,0
2021-01-25,0.4148887992,2
