date_week,positive,created_utc
2019-12-30,0.3974483999436913,1506
2020-01-06,0.37617601429818687,2318
2020-01-13,0.41518012088363143,2688
2020-01-20,0.36344473483931883,2757
2020-01-27,0.37884198354867477,2338
2020-02-03,0.3683927608518822,5819
2020-02-10,0.3801888152198876,4324
2020-02-17,0.3781243895579508,6659
2020-02-24,0.3492987375385887,9959
2020-03-02,0.34313401527238196,7977
2020-03-09,0.3480100290650283,16742
2020-03-16,0.3551874369406466,13153
2020-03-23,0.3596163453497154,13622
2020-03-30,0.3558243974501177,7760
2020-04-06,0.3575086811724629,7699
2020-04-13,0.3693030344323188,26771
2020-04-20,0.35658603905505726,9892
2020-04-27,0.3907795323690533,8893
2020-05-04,0.36007105020385904,6482
2020-05-11,0.3692045533914644,8014
2020-05-18,0.36431349314619643,5390
2020-05-25,0.3660078381861921,8502
2020-06-01,0.3585762688852341,10416
2020-06-08,0.3611900001160857,16008
2020-06-15,0.3686859033268962,10117
2020-06-22,0.35995961748732735,9092
2020-06-29,0.3706472027577485,6040
2020-07-06,0.3733962750240943,9225
2020-07-13,0.36356236341657383,8851
2020-07-20,0.36336620484293114,6960
2020-07-27,0.3608298098628803,6428
2020-08-03,0.36192801381867923,8710
2020-08-10,0.37098676158718347,7616
2020-08-17,0.3633477424667942,6815
2020-08-24,0.3700220555019289,6429
2020-08-31,0.36778215293217104,10382
2020-09-07,0.3662356356081615,8186
2020-09-14,0.3745002890959867,6482
2020-09-21,0.3741397352587932,6198
2020-09-28,0.3754868875528314,7454
2020-10-05,0.3705387354290996,6804
2020-10-12,0.3747539005050691,5840
2020-10-19,0.3611811692156144,6500
2020-10-26,0.366271135455417,6276
2020-11-02,0.3706430197811613,5680
2020-11-09,0.3767323321750532,6867
2020-11-16,0.3874339531838774,9011
2020-11-23,0.3946834389654268,14866
2020-11-30,0.3866339457054284,9280
2020-12-07,0.37176916416350503,9870
2020-12-14,0.38787700806618625,10256
2020-12-21,0.385686031139545,9268
2020-12-28,0.3843446239452983,7960
2021-01-04,0.38582823525105553,11878
2021-01-11,0.37715921223335,12438
2021-01-18,0.38526330586013985,286
2021-01-25,0.38801433427402904,1494
