date_week,positive,created_utc
2019-12-30,0.75637999175,4
2020-01-06,0.41973916292,10
2020-01-13,0.39834598699999996,12
2020-01-20,0.411154612925,8
2020-01-27,0.5070657266444446,18
2020-02-03,0.39909259975000005,8
2020-02-10,0.41599724509090913,22
2020-02-17,0.28169687092499995,8
2020-02-24,0.31311419007999997,10
2020-03-02,0.48469471929999997,4
2020-03-09,0.81618762015,4
2020-03-16,0.6914435029,2
2020-03-23,0.6214786768,8
2020-03-30,0.5274422006090907,22
2020-04-06,0.54717677835,4
2020-04-13,0.4481020399428571,14
2020-04-20,0.4159138150956522,46
2020-04-27,0.3611392426480001,50
2020-05-04,0.5860355099,6
2020-05-11,0.3661675964000001,14
2020-05-18,0.4012152485483441,302
2020-05-25,0.2956494766240741,108
2020-06-01,0.3868271293782608,46
2020-06-08,0.45733758146111114,36
2020-06-15,0.41897585137142856,28
2020-06-22,0.4649367979810345,116
2020-06-29,0.3572032627818183,88
2020-07-06,0.44406330715,92
2020-07-13,0.5172575291411764,34
2020-07-20,0.4232191368875,16
2020-07-27,0.44048420976341457,82
2020-08-03,0.34721750021044795,134
2020-08-10,0.33990661055,48
2020-08-17,0.392555857071875,64
2020-08-24,0.4023689794599998,100
2020-08-31,0.438598132652174,46
2020-09-07,0.37025925091428563,28
2020-09-14,0.47838779057058833,34
2020-09-21,0.3271090814,14
2020-09-28,0.4027053366083333,24
2020-10-05,0.41589001417999993,10
2020-10-12,0.4047151037857143,14
2020-10-19,0.2651385292374999,32
2020-10-26,0.378270042568421,38
2020-11-02,0.199023097775,8
2020-11-09,0.4037503481,10
2020-11-16,0.46869033575,8
2020-11-23,0.44880307261818175,22
2020-11-30,0.43442775701052616,38
2020-12-07,0.3847823739100001,20
2020-12-14,0.324012691775,24
2020-12-21,0.20265570284999998,8
2020-12-28,0.4986944539285715,14
2021-01-04,0.3733435089692308,26
2021-01-11,0.5528938248874999,16
