date_week,positive,created_utc
2019-12-30,0.2578663528,12
2020-01-06,0.34401726722857134,14
2020-01-13,0.4351292980888888,18
2020-01-20,0.25390893224999994,4
2020-01-27,0.5954661369500001,4
2020-02-03,0.18260255925263155,38
2020-02-10,0.3303163958652174,92
2020-02-17,0.40650647879999996,6
2020-02-24,0.35131164789999997,10
2020-03-02,0.40238502195714293,14
2020-03-09,0.29740473296666664,18
2020-03-16,0.21891628417857145,28
2020-03-23,0.30062897639999997,22
2020-03-30,0.4345475009571428,14
2020-04-06,0.38385875224666655,30
2020-04-13,0.31988879062212416,226
2020-04-20,0.41405036279142843,70
2020-04-27,0.33434350144054087,296
2020-05-04,0.4301129298941177,34
2020-05-11,0.4211340044684213,38
2020-05-18,0.47650652272142857,28
2020-05-25,0.2836661083357143,28
2020-06-01,0.24099349311111112,18
2020-06-08,0.32667160459285716,28
2020-06-15,0.27111880088947365,38
2020-06-22,0.33404245870000004,58
2020-06-29,0.36380646194202904,138
2020-07-06,0.3838530678572122,416
2020-07-13,0.34526408498411204,428
2020-07-20,0.2662256816779221,154
2020-07-27,0.34814893530112373,178
2020-08-03,0.322801503624138,58
2020-08-10,0.3685099578677421,62
2020-08-17,0.3313705858368421,114
2020-08-24,0.38557553290789487,76
2020-08-31,0.3977432024896552,58
2020-09-07,0.32106744766000006,50
2020-09-14,0.27511800079583343,48
2020-09-21,0.38007831352592614,54
2020-09-28,0.36666922767777776,36
2020-10-05,0.3820885140499999,64
2020-10-12,0.3241843046827585,58
2020-10-19,0.38919325917500003,64
2020-10-26,0.2933517176590163,122
2020-11-02,0.24808260078620678,58
2020-11-09,0.330371331604762,42
2020-11-16,0.4189692665470589,34
2020-11-23,0.36399665475384607,52
2020-11-30,0.3250452544944444,108
2020-12-07,0.3460224711304348,46
2020-12-14,0.44125191211200004,50
2020-12-21,0.29546592135833327,48
2020-12-28,0.3311015144,32
2021-01-04,0.3761254007090909,44
2021-01-11,0.43040272263333335,18
2021-01-18,0.07907742259999995,2
